Precinct,Location,Address
213,Hunters Creek Elementary School,"10650 Beinhorn Road, at Wade Hampton Drive, Houston,77024-3199"
214,Cunningham Elementary School,"5100 Gulfton Street, near South Rice Avenue, Houston,77081"
215,Faith American Lutheran Church,"4600 Bellaire Boulevard, at White Drive, Bellaire, 77401-4296"
216,Montgomery Elementary School,"4000 Simsbrook Drive, at Bathurst Drive, Houston, 77045-5628"
217,Saint Anne Catholic Church,"2140 Westheimer Road, near Greenbriar Drive, Houston,77098-1496"
218,J P Henderson Elementary School,"1800 Dismuke Street, at Berremore Street, Houston, 77023-4753"
219,Mount Olive Baptist Church,"3515 Yellowstone Boulevard, at Cadillac Street, Houston,77021-2407"
220,L W Kolarik Education Center,"1120 Sheldon Road, at Bear Bayou Drive, Channelview,77530-3518"
221,Meadowcreek Village Park Community Center,"5333 Berry Creek Drive, at Winding Creek Way, Houston,77017-6254"
222,Christ The King Lutheran Church Parish Hall,"2353 Rice Boulevard, at Greenbriar Street, Houston, 77005-2696"
223,Holiday Inn Houston NRG Med Center Area,"8111 Kirby Drive, at LaConcha Lane, Houston, 77054-1705"
224,Linkwood Park Community Center,"3699 Norris Drive, at Ilona Lane, Houston, 77025-3600"
225,Village On The Park,"12102 Steeple Way Boulevard, near West Road, Houston,77065-4759"
226,Ingrando Park Recreation Center,"7302 Keller Street, at Kellogg Street, Houston, 77012-3518"
227,River Oaks Elementary School,"2008 Kirby Drive, at San Felipe Street, Houston, 77019-6016"
228,HC Courthouse Annex 14 Southeast,"5737 Cullen Boulevard, at Glen Cove Drive, Houston,77021-1690"
229,Jacinto City Town Center Community Center,"1025 Oates Road, at Challenger 7, Jacinto City, 77029-2037"
230,New Mount Carmel Baptist Church,"4301 Weaver Road, at Hirsch Road, Houston, 77016-5634"
231,Golfcrest Elementary School,"7414 Fairway Drive, at Joplin Street, Houston, 77087-3623"
232,Pershing Middle School,"3838 Blue Bonnet Boulevard, at Braes Boulevard, Houston,77025-1230"
233,Four Points by Sheraton Houston Greenway Plaza,"2828 Southwest Freeway, at Wakeforest Avenue, Houston,77098-4502"
234,Tanglewood Middle School,"5215 San Felipe Street, at Sage Road, Houston, 77056-3605"
235,Hartsfield Elementary School,"5001 Perry Street, at Milart Street, Houston, 77021-3515"
236,Norris Chapel United Methodist Church,"7415 Saint Lo Road, at Van Fleet Street, Houston, 77033-2731"
237,Jones Future Academy,"7414 Saint Lo Road, at Van Fleet Street, Houston, 77033-2797"
238,Kelso Elementary School,"5800 Southmund Street, at Crestridge Street, Houston,77033-1832"
239,Edgewood Park Community Center,"5803 Bellfort Street, at Southbank Street, Houston, 77033-2143"
240,Sunnyside MultiService Center,"9314 Cullen Boulevard, at Wilmington Street, Houston,77051"
241,Aldine Middle School,"14908 Aldine Westfield Road, at Aldine Bender Road,Houston, 77032-3097"
242,Bailey Elementary School,"2707 Lafferty Road, at Parkside Drive, Pasadena, 77502-5194"
243,Crestmont Park Community Center,"5200 Selinsky Road, at Glenhollow Drive, Houston, 77048-1739"
244,Willbern Elementary School,"10811 Goodspring Drive, at Legacy Park Drive, Houston,77064-9419"
245,Kohrville Elementary School,"11600 Woodland Shore Drive, at Sandy Woods Drive,Tomball, 77375-8098"
246,Revival House Church,"2560 Old Louetta Loop, near Louetta Road, Spring, 77388-4711"
247,Cuney Homes Community Center,"3260 Truxillo Street, at Burkett Street, Houston, 77004-4649"
248,Baytown City Hall Annex,"220 West Defee Street, at North Gaillard Street, Baytown,77520-4010"
249,De Zavala Elementary School,"305 Tri City Beach Road, at FM 2354, Baytown, 77520-7313"
250,JD Walker Community Center,"7613 Wade Road, near Jones Road, Baytown, 77521-8338"
251,Charles R Drew Elementary School,"223 Red Oak Avenue, at Penn Street, Crosby, 77532-8660"
252,Greater New Hope Missionary Baptist Church,"10505 Bainbridge Street, at Calgary Lane, Houston, 77016-3007"
253,Little Union Missionary Baptist Church,"6609 Letcher Drive, at Henson Street, Houston, 77028-4029"
254,Anclamars W Reception,"10330 Eastex Freeway, south of Lakewood Drive, Houston,77093-4902"
255,Red Elementary School,"4520 Tonawanda Drive, at Cliffwood Drive, Houston, 77035-3716"
256,William S Sutton Elementary School,"7402 Albacore Drive, at Sharpview Drive, Houston, 77074-6512"
257,Rick Schneider Middle School,"8420 Easthaven Boulevard, at Bryant Street, Houston,77075-1106"
258,Rummel Creek Elementary School,"625 Brittmore Road, at Pebblebrook Drive, Houston, 77079-6101"
259,Pleasantville Elementary School,"1431 Gellhorn Drive, at Cowart Street, Houston, 77029-3343"
260,Lafaye Johnson Lee Elementary School,"12900 West Little York Road, at McKendree Park, Houston,77041-4212"
261,American Legion Post No 586,"708 East Parker Road, at Guse Street, Houston, 77076-3413"
262,Saint Christophers Episcopal Church,"1656 Blalock Road, at Long Point Road, Houston, 77080-7321"
263,Windrose Meeting House,"5740 Pine Lakes Boulevard, at Kuykendahl Road, Spring,77379"
264,Clay Road Baptist Church,"9151 Clay Road, at Pinemont Street, Houston, 77080-1695"
265,Frostwood Elementary School,"12214 Memorial Drive, at Gessner Road, Houston, 77024-6207"
266,Cimarron Elementary School GPISD,"816 Cimarron Street, at Orleans Street, Houston, 77015-4308"
267,Sam Rayburn High School,"2121 Cherrybrook Lane, at Burke Road, Pasadena, 77502-4101"
268,Christ Church Presbyterian Fellowship Hall,"4925 Bellaire Boulevard, at 3rd Street, Bellaire, 77401-4443"
269,Crowne Plaza Houston Galleria Area,"7611 Katy Freeway, at Silber Road, Houston, 77024-2001"
270,Clifton Middle School,"6001 Golden Forest Drive, at Lost Forest Drive, Houston,77092-2359"
271,Cloverland Park Bessie Swindle Community Center,"11800 Scott Street, at Hickok Lane, Houston, 77047-1508"
272,Unity of Houston,"2929 Unity Drive, at Hillcroft Street, Houston, 77057-5915"
273,Memorial Drive Elementary School,"11202 Smithdale Road, at Hedwig Road, Houston, 77024-6799"
274,Crowne Plaza Houston Galleria Area,"7611 Katy Freeway, at Silber Road, Houston, 77024-2001"
275,Glenbrook United Methodist Church,"8635 Glen Valley Drive, at Wilmerdean Street, Houston,77061-2339"
276,Bastian Elementary School,"5051 Bellfort Street, at Jutland Road, Houston, 77033-3826"
277,Bobby Shaw Middle School,"1201 Houston Avenue, at Taft Avenue, Pasadena, 77502"
278,Sunset United Methodist Church,"709 Allendale Road, at Lillian Street, Pasadena, 77502-3501"
279,Korean First Baptist Church,"4209 Red Bluff Road, near Randolph Road, Pasadena,77503"
280,Freeman Elementary School,"2323 Theta Street, at Edgebrook Drive, Houston, 77034-1250"
281,Godwin Park Community Center,"5101 Rutherglenn Drive, at Balmforth Lane, Houston, 77096"
282,Briarmeadow Elementary School,"3601 Dunvale Road, at Richmond Avenue, Houston, 77063-5707"
283,Cooper Elementary School,"18655 Imperial Valley Drive, at Chisholm Trail, Houston,77073-4608"
284,Bonham Elementary School,"8302 Braes River Drive, at Carew Street, Houston, 77074-4212"
285,J P Cornelius Elementary School,"7475 Westover Street, at Winterhaven Drive, Houston,77087-6113"
286,Windsor Village Community Center,"14441 Croquet Lane, at Grapevine Street, Houston, 77085-3352"
287,Willow Meadows Baptist Church,"4300 West Bellfort Street, at Greenwillow Street, Houston,77035-3602"
288,Reagan Webb Mading Elementary School,"8511 Crestmont Street, at Reed Road, Houston, 77033-1324"
289,Garfield Elementary School,"10301 Hartsook Street, at Theta Street, Houston, 77034-3596"
290,Bayshore Baptist Church,"11315 Spencer Highway, at Sens Road, LaPorte, 77571-4409"
291,Tinsley Elementary School,"11035 Bob White Drive, at Benning Drive, Houston, 77096-5714"
292,Audrey H Lawson Middle School,"14000 Stancliff Street, at Simsbrook Drive, Houston, 77045-5328"
293,Andy Anderson Elementary School,"5727 Ludington Drive, at Landsdown Drive, Houston,77035-4305"
294,Southeast Community Church,"10413 Ashville Drive, at Nita Street, Houston, 77051-4260"
295,Greater Lighthouse Church of God in Christ,"4514 Knoxville Street, at Duane Street, Houston, 77051-2662"
296,Lansdale Park Community Center,"8201 Roos Road, at Waldo Drive, Houston, 77036-6313"
297,Sharpstown Park Community Center,"6600 Harbor Town Drive, at Bellaire Boulevard, Houston,77036-4052"
298,Waldo Emerson Elementary School,"9533 Skyline Drive, at Tanglewilde Street, Houston, 77063-5215"
299,Treasure Forest Elementary School,"7635 Amelia Road, at Counter Point Drive, Houston, 77055-1737"
